ID	FCLower	FCUpper
3146	1	3
6285	1	3
8519	1	3
22861	1	3
6279	1	3
10344	1	3
10333	1	3
90268	-3	-1
351	1	3
9865	1	3
1612	1	3
923	-3	-1
10321	1	3
246778	-3	-1
1535	1	3
340061	-3	-1
6357	-3	-1
89122	1	3
3446	1	3
3662	1	3
2243	-3	-1
567	1	3
140881	-3	-1
66005	-3	-1
286430	1	3
85236	-3	-1
6622	1	3
2185	-3	-1
3565	1	3
6472	-3	-1
3439	1	3
3848	-3	-1
85363	1	3
1147	1	3
695	-3	-1
1669	1	3
3556	1	3
3593	1	3
4217	1	3
2625	1	3
10392	-3	-1
91543	1	3
5648	-3	-1
9051	-3	-1
1654	-3	-1
5806	-3	-1
3452	1	3
3811	-3	-1
84659	-3	-1
5294	1	3
2241	-3	-1
3660	-3	-1
6352	1	3
10955	-3	-1
3454	-3	-1
55655	1	3
818	-3	-1
65010	1	3
171389	1	3
27	-3	-1
3134	1	3
3543	1	3
816	1	3
1001	1	3
1855	1	3
1856	1	3
64840	1	3
27185	1	3
4693	1	3
7483	1	3
8321	1	3
8613	1	3
7484	1	3
6934	1	3
1482	1	3
7471	1	3
6259	1	3
84133	1	3
6907	1	3
8322	1	3
4624	1	3
7482	1	3
120892	1	3
7478	1	3
9968	1	3
139285	1	3
6794	1	3
6382	1	3
9314	1	3
5626	1	3
5663	1	3
10023	1	3
6591	1	3
283149	1	3
1857	1	3
54361	1	3
324	1	3
79718	1	3
83439	1	3
1499	1	3
91355	1	3
6862	1	3
7476	1	3
85458	1	3
23401	1	3
11211	1	3
2253	1	3
595	1	3
10076	1	3
6469	1	3
7480	1	3
8324	1	3
2535	1	3
4041	1	3
90780	1	3
6659	1	3
7320	1	3
3219	1	3
55681	1	3
6608	1	3
7403	1	3
7481	1	3
57680	1	3
998	1	3
5336	-3	-1
4332	-3	-1
9844	-3	-1
84174	-3	-1
1793	-3	-1
11213	-3	-1
10010	1	3
973	1	3
919	-3	-1
5698	-3	-1
4214	1	3
7409	-3	-1
3075	1	3
23191	1	3
8935	1	3
11119	1	3
5692	-3	-1
3654	-3	-1
5691	-3	-1
2822	-3	-1
101	-3	-1
28984	1	3
1675	-3	-1
7322	1	3
1493	1	3
7189	1	3
25865	-3	-1
841	1	3
51435	1	3
26999	1	3
4690	1	3
146206	1	3
3385	1	3
3689	1	3
23198	1	3
5788	-3	-1
3845	1	3
3507	1	3
940	-3	-1
3937	1	3
10787	1	3
5581	-3	-1
7454	-3	-1
4651	-3	-1
5338	1	3
1540	1	3
78989	1	3
5568	1	3
629	1	3
257397	1	3
5588	1	3
5714	-3	-1
915	-3	-1
1387	-3	-1
10097	-3	-1
5711	-3	-1
7323	-3	-1
9252	1	3
8737	1	3
25942	1	3
5709	-3	-1
5795	-3	-1
5296	1	3
10197	1	3
8945	-3	-1
722	-3	-1
28639	1	3
4792	-3	-1
5701	-3	-1
63916	-3	-1
708	-3	-1
5295	1	3
79155	1	3
784	1	3
121665	-3	-1
5718	-3	-1
130120	1	3
55072	-3	-1
1508	-3	-1
10451	-3	-1
6197	-3	-1
147179	-3	-1
51324	-3	-1
330	1	3
196051	1	3
27040	1	3
5708	1	3
8976	-3	-1
8013	-3	-1
10092	1	3
7184	-3	-1
952	-3	-1
974	-3	-1
163486	1	3
5710	-3	-1
5713	-3	-1
10458	-3	-1
4208	-3	-1
5291	1	3
3071	-3	-1
6885	1	3
596	-3	-1
5693	1	3
948	1	3
5595	1	3
5682	-3	-1
5289	1	3
5707	-3	-1
5747	1	3
5062	-3	-1
9402	1	3
3384	-3	-1
5579	-3	-1
54923	-3	-1
5689	-3	-1
5720	1	3
5694	-3	-1
5705	1	3
1513	1	3
